snapshot_collected_at_utc,nmId,vendorCode,techSize,barcode,warehouseName,quantity,inWayToClient,inWayFromClient
2026-07-09T22:51:44.105348+00:00,214385138,Bluejeans2,L,2039599440551,Котовск,1,0,0
2026-07-09T22:51:44.105348+00:00,217914003,Amaprint,L,2039672825541,Екатеринбург - Перспективная 14,1,0,0
2026-07-09T22:51:44.105348+00:00,1017464481,Dressgepur,XS,2051139387737,Остальные склады,0,0,2
2026-07-09T22:51:44.105348+00:00,314335767,Gold,хл,2042535684711,СЦ Абакан 2,0,0,1
2026-07-09T22:51:44.105348+00:00,148998901,NutaNight,XXXL,2037533148884,СПБ Шушары,0,0,0
2026-07-09T22:51:44.105348+00:00,314335767,Gold,хл,2042535684711,Невинномысск,0,1,0
2026-07-09T22:51:44.105348+00:00,357265722,Dressbordo,S,2043177808701,СЦ Белогорск,0,0,2
2026-07-09T22:51:44.105348+00:00,357265722,Dressbordo,M,2043177808718,СЦ Вологда 2,0,0,0
2026-07-09T22:51:44.105348+00:00,359686661,Dressblack,M,2043193437961,Электросталь,2,0,0
2026-07-09T22:51:44.105348+00:00,359686661,Dressblack,M,2043193437961,Радумля 1,0,0,0
2026-07-09T22:51:44.105348+00:00,384578439,Dressbraun,M,2043547518605,Тула,2,0,0
2026-07-09T22:51:44.105348+00:00,384578439,Dressbraun,M,2043547518605,Котовск,2,0,0
2026-07-09T22:51:44.105348+00:00,384578439,Dressbraun,M,2043547518605,СЦ Внуково,0,0,0
2026-07-09T22:51:44.105348+00:00,359686661,Dressblack,XS,2043887436669,Тула,2,0,0
2026-07-09T22:51:44.105348+00:00,359710654,Dressgrey,L,2043193903152,СЦ Хабаровск,0,0,1
2026-07-09T22:51:44.105348+00:00,384578439,Dressbraun,L,2043547518599,Тула,1,0,0
2026-07-09T22:51:44.105348+00:00,459228187,Amanew,3XL,2044712208833,Екатеринбург - Перспективная 14,0,0,0
2026-07-09T22:51:44.105348+00:00,357265722,Dressbordo,L,2043177808725,Невинномысск,1,0,0
2026-07-09T22:51:44.105348+00:00,357265722,Dressbordo,L,2043177808725,Самара (Новосемейкино),2,0,0
2026-07-09T22:51:44.105348+00:00,359686661,Dressblack,L,2043193437954,СЦ Кемерово,0,0,0
2026-07-09T22:51:44.105348+00:00,359686661,Dressblack,L,2043193437954,Тула,5,0,0
2026-07-09T22:51:44.105348+00:00,359686661,Dressblack,L,2043193437954,Екатеринбург - Перспективная 14,1,0,0
2026-07-09T22:51:44.105348+00:00,604358784,Milanabordo,L,2047159169682,Тула,2,0,0
2026-07-09T22:51:44.105348+00:00,357265722,Dressbordo,XS,2044131296640,Тула,4,1,0
2026-07-09T22:51:44.105348+00:00,449795236,Suitblue,128,2044537443853,Владимир,0,0,0
2026-07-09T22:51:44.105348+00:00,449795236,Suitblue,128,2044537443853,Воронеж,0,0,1
2026-07-09T22:51:44.105348+00:00,604358784,Milanabordo,M,2047159169699,Тула,2,0,0
2026-07-09T22:51:44.105348+00:00,540151286,jacket,M,2046237584898,Электросталь,1,0,0
2026-07-09T22:51:44.105348+00:00,449795236,Suitblue,146,2044537443884,СЦ Шушары,0,0,1
2026-07-09T22:51:44.105348+00:00,532147674,Maxiblack,M,2046105120982,Тула,1,0,0
2026-07-09T22:51:44.105348+00:00,604358784,Milanabordo,S,2047159169705,Тула,2,0,0
2026-07-09T22:51:44.105348+00:00,1017464481,Dressgepur,XS,2051139387737,Воронеж,0,1,0
2026-07-09T22:51:44.105348+00:00,403141242,Estiliowhite,ONE SIZE,2043834050429,Рязань (Тюшевское),4,2,0
2026-07-09T22:51:44.105348+00:00,83248318,pygovkablue,158,2029168705686,Самара (Новосемейкино),0,0,0
2026-07-09T22:51:44.105348+00:00,314335767,Gold,ХХЛ,2042535684728,СЦ Кемерово,0,0,1
2026-07-09T22:51:44.105348+00:00,367954936,Polobezh,M,2043320641261,Краснодар,3,0,0
2026-07-09T22:51:44.105348+00:00,359686661,Dressblack,M,2043193437961,Екатеринбург - Перспективная 14,1,0,0
2026-07-09T22:51:44.105348+00:00,359686661,Dressblack,M,2043193437961,Невинномысск,0,0,0
2026-07-09T22:51:44.105348+00:00,359686661,Dressblack,L,2043193437954,СПБ Шушары,1,0,0
2026-07-09T22:51:44.105348+00:00,581527219,DressBar,M,2046911210433,Рязань (Тюшевское),0,0,0
2026-07-09T22:51:44.105348+00:00,612434640,Milanablack,L,2047246194573,Остальные склады,0,1,1
2026-07-09T22:51:44.105348+00:00,612434640,Milanablack,L,2047246194573,СПБ Шушары,1,0,0
2026-07-09T22:51:44.105348+00:00,419352159,Rusha,M,2044026229906,Остальные склады,0,0,1
2026-07-09T22:51:44.105348+00:00,419352159,Rusha,M,2044026229906,Екатеринбург - Перспективная 14,1,0,0
2026-07-09T22:51:44.105348+00:00,148998901,NutaNight,XXXL,2037533148884,Коледино,2,0,0
2026-07-09T22:51:44.105348+00:00,359686661,Dressblack,L,2043193437954,СЦ Мурманск,0,0,0
2026-07-09T22:51:44.105348+00:00,459228187,Amanew,3XL,2044712208833,Рязань (Тюшевское),2,0,0
2026-07-09T22:51:44.105348+00:00,543717933,Vestblack,M,2046284871750,Самара (Новосемейкино),3,2,0
2026-07-09T22:51:44.105348+00:00,419352159,Rusha,XL,2044026229920,Остальные склады,0,0,0
2026-07-09T22:51:44.105348+00:00,359686661,Dressblack,XS,2043887436669,СЦ Софьино,0,0,0
2026-07-09T22:51:44.105348+00:00,384578439,Dressbraun,L,2043547518599,Электросталь,1,0,0
2026-07-09T22:51:44.105348+00:00,1017464481,Dressgepur,M,2051139387713,СЦ Софьино,0,0,0
2026-07-09T22:51:44.105348+00:00,357265722,Dressbordo,M,2043177808718,Владимир,1,0,0
2026-07-09T22:51:44.105348+00:00,357265722,Dressbordo,M,2043177808718,Пушкино,0,0,0
2026-07-09T22:51:44.105348+00:00,1017464481,Dressgepur,S,2051139387720,Тула,5,0,0
