snapshot_collected_at_utc,nmId,vendorCode,techSize,barcode,warehouseName,quantity,inWayToClient,inWayFromClient
2026-06-13T08:33:44.849982+00:00,367954936,Polobezh,M,2043320641261,Электросталь,1,0,0
2026-06-13T08:33:44.849982+00:00,367954936,Polobezh,M,2043320641261,СЦ Хабаровск,0,1,0
2026-06-13T08:33:44.849982+00:00,173670617,Rubchikblack,4XL,2038444334809,Коледино,0,0,0
2026-06-13T08:33:44.849982+00:00,173670617,Rubchikblack,4XL,2038444334809,СЦ Софьино,0,1,0
2026-06-13T08:33:44.849982+00:00,357265722,Dressbordo,S,2043177808701,СЦ Абакан 2,0,0,0
2026-06-13T08:33:44.849982+00:00,357265722,Dressbordo,S,2043177808701,Сарапул,1,0,0
2026-06-13T08:33:44.849982+00:00,359686661,Dressblack,S,2043193437978,Электросталь,0,2,0
2026-06-13T08:33:44.849982+00:00,357265722,Dressbordo,S,2043177808701,СЦ Иркутск,0,1,0
2026-06-13T08:33:44.849982+00:00,314335767,Gold,л,2042535684704,Остальные склады,0,5,3
2026-06-13T08:33:44.849982+00:00,217913160,Amazebra,XL,2039672779226,Екатеринбург - Перспективная 14,0,1,0
2026-06-13T08:33:44.849982+00:00,217913160,Amazebra,L,2039672779219,Остальные склады,0,3,0
2026-06-13T08:33:44.849982+00:00,217913160,Amazebra,L,2039672779219,Электросталь,0,0,0
2026-06-13T08:33:44.849982+00:00,217914003,Amaprint,L,2039672825541,Самара (Новосемейкино),0,1,0
2026-06-13T08:33:44.849982+00:00,357265722,Dressbordo,S,2043177808701,Коледино,0,0,0
2026-06-13T08:33:44.849982+00:00,357265722,Dressbordo,S,2043177808701,Радумля 1,0,2,0
2026-06-13T08:33:44.849982+00:00,357265722,Dressbordo,S,2043177808701,Рязань (Тюшевское),0,2,0
2026-06-13T08:33:44.849982+00:00,357265722,Dressbordo,S,2043177808701,Владивосток,0,0,1
2026-06-13T08:33:44.849982+00:00,357265722,Dressbordo,L,2043177808725,Коледино,1,0,0
2026-06-13T08:33:44.849982+00:00,357265722,Dressbordo,L,2043177808725,Крыловская,0,0,0
2026-06-13T08:33:44.849982+00:00,357265722,Dressbordo,L,2043177808725,Самара (Новосемейкино),12,0,0
2026-06-13T08:33:44.849982+00:00,357265722,Dressbordo,M,2043177808718,Самара (Новосемейкино),10,0,0
2026-06-13T08:33:44.849982+00:00,357265722,Dressbordo,M,2043177808718,СЦ Ереван,0,0,1
2026-06-13T08:33:44.849982+00:00,359686661,Dressblack,L,2043193437954,Коледино,0,0,0
2026-06-13T08:33:44.849982+00:00,359710654,Dressgrey,M,2043193903169,Остальные склады,0,2,0
2026-06-13T08:33:44.849982+00:00,359710654,Dressgrey,M,2043193903169,Самара (Новосемейкино),1,0,0
2026-06-13T08:33:44.849982+00:00,459228187,Amanew,XL,2044712208857,Белая дача,0,0,1
2026-06-13T08:33:44.849982+00:00,459228187,Amanew,XL,2044712208857,Остальные склады,0,1,2
2026-06-13T08:33:44.849982+00:00,384578439,Dressbraun,S,2043547518612,Артём,0,0,0
2026-06-13T08:33:44.849982+00:00,384578439,Dressbraun,L,2043547518599,СЦ Барнаул,0,1,0
2026-06-13T08:33:44.849982+00:00,384578439,Dressbraun,L,2043547518599,Екатеринбург - Перспективная 14,1,0,0
2026-06-13T08:33:44.849982+00:00,540151286,jacket,M,2046237584898,СЦ Гомель 2,0,1,0
2026-06-13T08:33:44.849982+00:00,540151286,jacket,M,2046237584898,Электросталь,2,0,0
2026-06-13T08:33:44.849982+00:00,357265722,Dressbordo,XS,2044131296640,Электросталь,3,1,0
2026-06-13T08:33:44.849982+00:00,540151286,jacket,S,2046237584133,Остальные склады,0,3,1
2026-06-13T08:33:44.849982+00:00,540151286,jacket,S,2046237584133,Тула,0,0,0
