snapshot_collected_at_utc,nmId,vendorCode,techSize,barcode,warehouseName,quantity,inWayToClient,inWayFromClient
2026-07-08T07:56:32.916532+00:00,168745949,Rubchikwhite,XL,2038151831004,Краснодар,0,0,0
2026-07-08T07:56:32.916532+00:00,168745949,Rubchikwhite,XL,2038151831004,Белая дача,0,1,0
2026-07-08T07:56:32.916532+00:00,217913160,Amazebra,L,2039672779219,Электросталь,2,0,0
2026-07-08T07:56:32.916532+00:00,217913160,Amazebra,L,2039672779219,СЦ Мурманск,0,1,0
2026-07-08T07:56:32.916532+00:00,357265722,Dressbordo,M,2043177808718,СЦ Шушары,0,1,0
2026-07-08T07:56:32.916532+00:00,357265722,Dressbordo,L,2043177808725,СЦ Ижевск,0,1,0
2026-07-08T07:56:32.916532+00:00,419352159,Rusha,XXL,2044026229937,Тула,2,1,0
2026-07-08T07:56:32.916532+00:00,357265722,Dressbordo,M,2043177808718,СЦ Чита 2,0,0,0
2026-07-08T07:56:32.916532+00:00,357265722,Dressbordo,M,2043177808718,Екатеринбург - Перспективная 14,1,1,0
2026-07-08T07:56:32.916532+00:00,357265722,Dressbordo,S,2043177808701,Екатеринбург - Перспективная 14,0,2,0
2026-07-08T07:56:32.916532+00:00,384578439,Dressbraun,S,2043547518612,Котовск,10,0,0
2026-07-08T07:56:32.916532+00:00,314335767,Gold,хл,2042535684711,Остальные склады,0,1,4
2026-07-08T07:56:32.916532+00:00,36168913,sarafanschoolblue,134,2005345514029,Электросталь,4,0,0
2026-07-08T07:56:32.916532+00:00,36168913,sarafanschoolblue,134,2005345514029,Остальные склады,0,1,0
2026-07-08T07:56:32.916532+00:00,357265722,Dressbordo,M,2043177808718,Электросталь,1,1,0
2026-07-08T07:56:32.916532+00:00,235818031,Polinablue,2ХЛ,2040261485725,Краснодар,1,0,0
2026-07-08T07:56:32.916532+00:00,235818031,Polinablue,2ХЛ,2040261485725,Остальные склады,0,1,0
2026-07-08T07:56:32.916532+00:00,357265722,Dressbordo,M,2043177808718,Истра,0,0,0
2026-07-08T07:56:32.916532+00:00,359710654,Dressgrey,L,2043193903152,Электросталь,0,0,1
2026-07-08T07:56:32.916532+00:00,357265722,Dressbordo,S,2043177808701,Истра,0,0,1
2026-07-08T07:56:32.916532+00:00,384578439,Dressbraun,L,2043547518599,Белая дача,0,1,0
2026-07-08T07:56:32.916532+00:00,384578439,Dressbraun,L,2043547518599,Коледино,2,0,0
2026-07-08T07:56:32.916532+00:00,182674292,Pants52,3XL,2038797035118,Вёшки,0,1,0
2026-07-08T07:56:32.916532+00:00,182674292,Pants52,3XL,2038797035118,Рязань (Тюшевское),3,0,0
2026-07-08T07:56:32.916532+00:00,449795236,Suitblue,146,2044537443884,Рязань (Тюшевское),0,1,0
2026-07-08T07:56:32.916532+00:00,612434640,Milanablack,L,2047246194573,Владимир,1,0,0
2026-07-08T07:56:32.916532+00:00,612434640,Milanablack,L,2047246194573,Остальные склады,0,2,1
2026-07-08T07:56:32.916532+00:00,540151286,jacket,S,2046237584133,Остальные склады,0,3,1
2026-07-08T07:56:32.916532+00:00,540151286,jacket,S,2046237584133,СЦ Смоленск 3,0,0,1
2026-07-08T07:56:32.916532+00:00,359686661,Dressblack,S,2043193437978,Артём,0,1,0
2026-07-08T07:56:32.916532+00:00,359686661,Dressblack,S,2043193437978,Екатеринбург - Перспективная 14,0,1,0
2026-07-08T07:56:32.916532+00:00,367954936,Polobezh,M,2043320641261,Самара (Новосемейкино),7,0,0
2026-07-08T07:56:32.916532+00:00,367954936,Polobezh,M,2043320641261,СЦ Хабаровск,0,0,0
2026-07-08T07:56:32.916532+00:00,359686661,Dressblack,M,2043193437961,Екатеринбург - Перспективная 14,0,0,0
2026-07-08T07:56:32.916532+00:00,359686661,Dressblack,M,2043193437961,Остальные склады,0,6,4
2026-07-08T07:56:32.916532+00:00,235296506,Polina,2ХЛ,2040242468471,Остальные склады,0,0,0
2026-07-08T07:56:32.916532+00:00,235296506,Polina,2ХЛ,2040242468471,Краснодар,1,0,0
2026-07-08T07:56:32.916532+00:00,242492939,Suitblack,134,2040613716767,Электросталь,0,1,0
2026-07-08T07:56:32.916532+00:00,242492939,Suitblack,134,2040613716767,Сургут,0,1,0
2026-07-08T07:56:32.916532+00:00,242492939,Suitblack,134,2040613716767,Екатеринбург - Перспективная 14,0,0,0
2026-07-08T07:56:32.916532+00:00,314335767,Gold,M,2042535531558,Остальные склады,0,1,0
2026-07-08T07:56:32.916532+00:00,314335767,Gold,M,2042535531558,Краснодар,0,0,0
2026-07-08T07:56:32.916532+00:00,449795236,Suitblue,128,2044537443853,Владимир,0,1,0
2026-07-08T07:56:32.916532+00:00,357265722,Dressbordo,L,2043177808725,Остальные склады,0,12,7
2026-07-08T07:56:32.916532+00:00,357265722,Dressbordo,L,2043177808725,Самара (Новосемейкино),2,0,0
