snapshot_collected_at_utc,nmId,vendorCode,techSize,barcode,warehouseName,quantity,inWayToClient,inWayFromClient
2026-07-02T00:19:10.725964+00:00,138556432,Ornella,XXXL,2037247885020,Остальные склады,0,0,0
2026-07-02T00:19:10.725964+00:00,138556432,Ornella,XXXL,2037247885020,Электросталь,2,0,0
2026-07-02T00:19:10.725964+00:00,148998901,NutaNight,XXXL,2037533148884,Екатеринбург - Перспективная 14,1,1,0
2026-07-02T00:19:10.725964+00:00,359710654,Dressgrey,M,2043193903169,Невинномысск,0,0,1
2026-07-02T00:19:10.725964+00:00,359710654,Dressgrey,M,2043193903169,СЦ Внуково,0,1,0
2026-07-02T00:19:10.725964+00:00,357265722,Dressbordo,L,2043177808725,Остальные склады,0,15,8
2026-07-02T00:19:10.725964+00:00,357265722,Dressbordo,L,2043177808725,Екатеринбург - Перспективная 14,0,0,0
2026-07-02T00:19:10.725964+00:00,314335767,Gold,ХХЛ,2042535684728,Остальные склады,0,4,2
2026-07-02T00:19:10.725964+00:00,314335767,Gold,ХХЛ,2042535684728,СЦ Челябинск 2,0,0,1
2026-07-02T00:19:10.725964+00:00,384578439,Dressbraun,S,2043547518612,Коледино,3,1,0
2026-07-02T00:19:10.725964+00:00,384578439,Dressbraun,S,2043547518612,Белая дача,0,0,0
2026-07-02T00:19:10.725964+00:00,540151286,jacket,XL,2049839732391,Краснодар,1,1,0
2026-07-02T00:19:10.725964+00:00,449795236,Suitblue,146,2044537443884,Екатеринбург - Перспективная 14,0,2,0
2026-07-02T00:19:10.725964+00:00,357265722,Dressbordo,XS,2044131296640,Электросталь,1,0,0
2026-07-02T00:19:10.725964+00:00,357265722,Dressbordo,XS,2044131296640,СЦ Софьино,0,0,0
2026-07-02T00:19:10.725964+00:00,357265722,Dressbordo,S,2043177808701,Остальные склады,0,9,11
2026-07-02T00:19:10.725964+00:00,357265722,Dressbordo,S,2043177808701,Минск,0,1,0
2026-07-02T00:19:10.725964+00:00,314335767,Gold,л,2042535684704,Екатеринбург - Перспективная 14,1,1,0
