snapshot_collected_at_utc,nmId,vendorCode,techSize,barcode,warehouseName,quantity,inWayToClient,inWayFromClient
2026-06-11T09:15:45.240869+00:00,359686661,Dressblack,L,2043193437954,Самара (Новосемейкино),2,0,0
2026-06-11T09:15:45.240869+00:00,359686661,Dressblack,L,2043193437954,СЦ Оренбург Центральная,0,1,0
2026-06-11T09:15:45.240869+00:00,90726355,blueblack,158,2039833175638,Воронеж,1,0,0
2026-06-11T09:15:45.240869+00:00,384578439,Dressbraun,XS,2044131266407,Воронеж,0,1,0
2026-06-11T09:15:45.240869+00:00,384578439,Dressbraun,S,2043547518612,Тверь Эммаусское,0,0,1
2026-06-11T09:15:45.240869+00:00,359686661,Dressblack,XS,2043887436669,СЦ Вологда 2,0,1,0
2026-06-11T09:15:45.240869+00:00,359686661,Dressblack,XS,2043887436669,Владимир,0,0,0
2026-06-11T09:15:45.240869+00:00,1017464481,Dressgepur,XS,2051139387737,Самара (Новосемейкино),0,1,0
2026-06-11T09:15:45.240869+00:00,314335767,Gold,хл,2042535684711,Воронеж,0,1,0
2026-06-11T09:15:45.240869+00:00,403141242,Estiliowhite,ONE SIZE,2043834050429,Котовск,0,1,0
2026-06-11T09:15:45.240869+00:00,367940602,Poloblack,S,2043320067580,Коледино,2,0,0
2026-06-11T09:15:45.240869+00:00,214385138,Bluejeans2,XXL,2039599440575,Коледино,0,0,0
2026-06-11T09:15:45.240869+00:00,214385138,Bluejeans2,XXL,2039599440575,СЦ Белогорск,0,1,0
2026-06-11T09:15:45.240869+00:00,159237421,Toprazrezblack,XXL,2037768022935,Электросталь,0,1,0
2026-06-11T09:15:45.240869+00:00,357265722,Dressbordo,L,2043177808725,Екатеринбург - Перспективная 14,1,2,0
2026-06-11T09:15:45.240869+00:00,357265722,Dressbordo,L,2043177808725,Электросталь,4,2,0
2026-06-11T09:15:45.240869+00:00,357265722,Dressbordo,L,2043177808725,Краснодар,2,1,0
2026-06-11T09:15:45.240869+00:00,357265722,Dressbordo,L,2043177808725,Невинномысск,0,0,0
2026-06-11T09:15:45.240869+00:00,357265722,Dressbordo,L,2043177808725,СЦ Челябинск 2,0,1,0
2026-06-11T09:15:45.240869+00:00,357265722,Dressbordo,L,2043177808725,Сарапул,3,0,0
2026-06-11T09:15:45.240869+00:00,357265722,Dressbordo,L,2043177808725,СЦ Ярославль Громова,0,1,2
2026-06-11T09:15:45.240869+00:00,357265722,Dressbordo,S,2043177808701,СЦ Хабаровск,0,0,0
2026-06-11T09:15:45.240869+00:00,357265722,Dressbordo,S,2043177808701,Самара (Новосемейкино),3,2,0
2026-06-11T09:15:45.240869+00:00,384578439,Dressbraun,S,2043547518612,СЦ Барнаул,0,1,0
2026-06-11T09:15:45.240869+00:00,384578439,Dressbraun,S,2043547518612,Екатеринбург - Перспективная 14,0,0,0
2026-06-11T09:15:45.240869+00:00,384578439,Dressbraun,L,2043547518599,Тула,3,0,0
2026-06-11T09:15:45.240869+00:00,314335767,Gold,хл,2042535684711,СЦ Внуково,0,0,1
2026-06-11T09:15:45.240869+00:00,314335767,Gold,хл,2042535684711,Остальные склады,0,6,6
2026-06-11T09:15:45.240869+00:00,359686661,Dressblack,S,2043193437978,СЦ Вологда 2,0,1,0
2026-06-11T09:15:45.240869+00:00,359686661,Dressblack,S,2043193437978,Электросталь,2,0,0
2026-06-11T09:15:45.240869+00:00,314335767,Gold,л,2042535684704,Остальные склады,0,3,1
2026-06-11T09:15:45.240869+00:00,314335767,Gold,л,2042535684704,СЦ Хабаровск,0,0,1
2026-06-11T09:15:45.240869+00:00,359686661,Dressblack,L,2043193437954,Электросталь,0,0,0
2026-06-11T09:15:45.240869+00:00,359686661,Dressblack,L,2043193437954,Вёшки,0,1,0
2026-06-11T09:15:45.240869+00:00,359686661,Dressblack,L,2043193437954,СЦ Хабаровск,0,0,1
2026-06-11T09:15:45.240869+00:00,359686661,Dressblack,L,2043193437954,Екатеринбург - Перспективная 14,0,0,0
2026-06-11T09:15:45.240869+00:00,459228187,Amanew,XL,2044712208857,Казань,0,0,1
2026-06-11T09:15:45.240869+00:00,314335767,Gold,ХХЛ,2042535684728,Владимир,0,0,0
2026-06-11T09:15:45.240869+00:00,314335767,Gold,ХХЛ,2042535684728,Котовск,0,0,0
2026-06-11T09:15:45.240869+00:00,314335767,Gold,ХХЛ,2042535684728,Остальные склады,0,6,1
2026-06-11T09:15:45.240869+00:00,314335767,Gold,ХХЛ,2042535684728,СЦ Ижевск,0,1,0
2026-06-11T09:15:45.240869+00:00,314335767,Gold,ХХЛ,2042535684728,Тула,0,0,0
2026-06-11T09:15:45.240869+00:00,314335767,Gold,ХХЛ,2042535684728,СЦ Нижний Новгород Ларина,0,1,0
2026-06-11T09:15:45.240869+00:00,357265722,Dressbordo,M,2043177808718,Краснодар,4,4,0
2026-06-11T09:15:45.240869+00:00,357265722,Dressbordo,M,2043177808718,СПБ Шушары,0,0,0
2026-06-11T09:15:45.240869+00:00,357265722,Dressbordo,M,2043177808718,СЦ Хабаровск,0,0,1
2026-06-11T09:15:45.240869+00:00,357265722,Dressbordo,M,2043177808718,Екатеринбург - Перспективная 14,2,1,0
2026-06-11T09:15:45.240869+00:00,357265722,Dressbordo,M,2043177808718,СЦ Шушары,0,1,0
2026-06-11T09:15:45.240869+00:00,357265722,Dressbordo,M,2043177808718,Владивосток,0,0,0
2026-06-11T09:15:45.240869+00:00,357265722,Dressbordo,M,2043177808718,СЦ Белогорск,0,1,0
2026-06-11T09:15:45.240869+00:00,359686661,Dressblack,M,2043193437961,Краснодар,2,1,0
2026-06-11T09:15:45.240869+00:00,419352159,Rusha,S,2044026229890,Электросталь,0,0,0
2026-06-11T09:15:45.240869+00:00,540151286,jacket,XS,2046237560540,Остальные склады,0,2,0
2026-06-11T09:15:45.240869+00:00,540151286,jacket,XS,2046237560540,СПБ Шушары,1,0,0
2026-06-11T09:15:45.240869+00:00,359710654,Dressgrey,S,2043193903176,Остальные склады,0,2,0
2026-06-11T09:15:45.240869+00:00,359710654,Dressgrey,S,2043193903176,Краснодар,0,0,0
2026-06-11T09:15:45.240869+00:00,612434640,Milanablack,L,2047246194573,Калининград,1,0,0
2026-06-11T09:15:45.240869+00:00,540151286,jacket,L,2046237586823,Самара (Новосемейкино),4,1,0
2026-06-11T09:15:45.240869+00:00,612434640,Milanablack,L,2047246194573,Остальные склады,0,0,1
2026-06-11T09:15:45.240869+00:00,612434640,Milanablack,L,2047246194573,СЦ Астрахань (Солянка),0,1,0
2026-06-11T09:15:45.240869+00:00,612434640,Milanablack,L,2047246194573,Волгоград,0,0,0
2026-06-11T09:15:45.240869+00:00,540151286,jacket,XXL,2049839732407,Краснодар,2,1,0
2026-06-11T09:15:45.240869+00:00,540151286,jacket,XL,2049839732391,Краснодар,2,1,0
2026-06-11T09:15:45.240869+00:00,357265722,Dressbordo,L,2043177808725,Рязань (Тюшевское),1,0,0
2026-06-11T09:15:45.240869+00:00,314335767,Gold,л,2042535684704,Краснодар,0,1,0
2026-06-11T09:15:45.240869+00:00,367940602,Poloblack,M,2043320067597,Остальные склады,0,1,0
2026-06-11T09:15:45.240869+00:00,367940602,Poloblack,M,2043320067597,Краснодар,1,0,0
2026-06-11T09:15:45.240869+00:00,540151286,jacket,XL,2049839732391,Электросталь,5,0,0
2026-06-11T09:15:45.240869+00:00,540151286,jacket,XL,2049839732391,СЦ Внуково,0,1,0
2026-06-11T09:15:45.240869+00:00,357265722,Dressbordo,S,2043177808701,Тверь Эммаусское,0,0,0
2026-06-11T09:15:45.240869+00:00,359686661,Dressblack,M,2043193437961,Пушкино,0,0,0
2026-06-11T09:15:45.240869+00:00,359686661,Dressblack,M,2043193437961,СЦ Уфа,0,1,0
2026-06-11T09:15:45.240869+00:00,359686661,Dressblack,M,2043193437961,Самара (Новосемейкино),1,0,0
2026-06-11T09:15:45.240869+00:00,359686661,Dressblack,M,2043193437961,Тула,1,0,0
2026-06-11T09:15:45.240869+00:00,359686661,Dressblack,S,2043193437978,Невинномысск,1,0,0
2026-06-11T09:15:45.240869+00:00,459228187,Amanew,XL,2044712208857,Остальные склады,0,4,1
2026-06-11T09:15:45.240869+00:00,459228187,Amanew,XL,2044712208857,Котовск,0,0,0
2026-06-11T09:15:45.240869+00:00,419352159,Rusha,S,2044026229890,Остальные склады,0,3,0
2026-06-11T09:15:45.240869+00:00,419352159,Rusha,S,2044026229890,СЦ Челябинск 2,0,0,0
2026-06-11T09:15:45.240869+00:00,173670617,Rubchikblack,L,2038444334762,Остальные склады,0,0,0
2026-06-11T09:15:45.240869+00:00,173670617,Rubchikblack,L,2038444334762,СЦ Мурманск,0,0,1
2026-06-11T09:15:45.240869+00:00,384578439,Dressbraun,S,2043547518612,Тула,1,0,0
2026-06-11T09:15:45.240869+00:00,384578439,Dressbraun,S,2043547518612,СЦ Брянск 2,0,1,0
2026-06-11T09:15:45.240869+00:00,357265722,Dressbordo,M,2043177808718,Остальные склады,0,15,7
