snapshot_collected_at_utc,nmId,vendorCode,techSize,barcode,warehouseName,quantity,inWayToClient,inWayFromClient
2026-07-12T19:16:31.264801+00:00,144974692,Nutablack,XXXL,2037428330912,Остальные склады,0,1,0
2026-07-12T19:16:31.264801+00:00,144974692,Nutablack,XXXL,2037428330912,Тула,0,0,0
2026-07-12T19:16:31.264801+00:00,296831006,JeansGrey,XL,2042128504389,Волгоград,3,1,0
2026-07-12T19:16:31.264801+00:00,357265722,Dressbordo,XS,2044131296640,Коледино,2,0,0
2026-07-12T19:16:31.264801+00:00,612434640,Milanablack,L,2047246194573,Рязань (Тюшевское),2,0,0
2026-07-12T19:16:31.264801+00:00,1017464481,Dressgepur,XS,2051139387737,СПБ Шушары,1,0,0
2026-07-12T19:16:31.264801+00:00,1017464481,Dressgepur,XS,2051139387737,Астана Карагандинское шоссе,1,0,0
2026-07-12T19:16:31.264801+00:00,1017464481,Dressgepur,XS,2051139387737,Владимир,1,0,0
2026-07-12T19:16:31.264801+00:00,1017464481,Dressgepur,XS,2051139387737,Котовск,1,0,0
2026-07-12T19:16:31.264801+00:00,403141242,Estiliowhite,ONE SIZE,2043834050429,Тула,1,1,0
2026-07-12T19:16:31.264801+00:00,357265722,Dressbordo,M,2043177808718,СЦ Хабаровск,0,0,0
2026-07-12T19:16:31.264801+00:00,384578439,Dressbraun,S,2043547518612,Электросталь,2,1,0
2026-07-12T19:16:31.264801+00:00,357265722,Dressbordo,XS,2044131296640,СЦ Омск,0,1,0
2026-07-12T19:16:31.264801+00:00,148998901,NutaNight,XXL,2037533148877,Остальные склады,0,0,0
2026-07-12T19:16:31.264801+00:00,148998901,NutaNight,XXL,2037533148877,Невинномысск,1,0,0
2026-07-12T19:16:31.264801+00:00,367954936,Polobezh,S,2043320641278,Казань,0,0,0
2026-07-12T19:16:31.264801+00:00,384578439,Dressbraun,M,2043547518605,Краснодар,0,0,0
2026-07-12T19:16:31.264801+00:00,83248318,pygovkablue,146,2029168705662,СЦ Иркутск,0,0,0
2026-07-12T19:16:31.264801+00:00,83248318,pygovkablue,146,2029168705662,Тула,0,1,0
2026-07-12T19:16:31.264801+00:00,83248318,pygovkablue,146,2029168705662,Остальные склады,0,1,1
2026-07-12T19:16:31.264801+00:00,235296506,Polina,хл,2040242468464,Казань,0,0,0
2026-07-12T19:16:31.264801+00:00,235296506,Polina,хл,2040242468464,СПБ Шушары,0,0,0
2026-07-12T19:16:31.264801+00:00,357265722,Dressbordo,S,2043177808701,Тула,0,0,0
2026-07-12T19:16:31.264801+00:00,357265722,Dressbordo,S,2043177808701,Краснодар,3,0,0
2026-07-12T19:16:31.264801+00:00,449795236,Suitblue,134,2044537443860,СЦ Шушары,0,0,0
2026-07-12T19:16:31.264801+00:00,182674292,Pants52,L,2038797035088,Электросталь,0,0,0
2026-07-12T19:16:31.264801+00:00,182674292,Pants52,L,2038797035088,Остальные склады,0,1,0
2026-07-12T19:16:31.264801+00:00,182674292,Pants52,XXL,2038797035101,СЦ Шушары,0,0,1
2026-07-12T19:16:31.264801+00:00,182674292,Pants52,XXL,2038797035101,Остальные склады,0,1,1
2026-07-12T19:16:31.264801+00:00,459228187,Amanew,L,2044712208840,Волгоград,2,2,0
2026-07-12T19:16:31.264801+00:00,532147674,Maxiblack,XS,2046105121002,Краснодар,1,0,0
2026-07-12T19:16:31.264801+00:00,369541022,Amacolor,XXL,2043346616007,Радумля 1,0,1,0
2026-07-12T19:16:31.264801+00:00,369541022,Amacolor,XXL,2043346616007,Рязань (Тюшевское),2,0,0
2026-07-12T19:16:31.264801+00:00,384578439,Dressbraun,S,2043547518612,Краснодар,4,0,0
2026-07-12T19:16:31.264801+00:00,384578439,Dressbraun,S,2043547518612,СЦ Ижевск,0,0,0
2026-07-12T19:16:31.264801+00:00,384578439,Dressbraun,S,2043547518612,Самара (Новосемейкино),2,0,0
2026-07-12T19:16:31.264801+00:00,604358784,Milanabordo,S,2047159169705,Краснодар,1,0,0
2026-07-12T19:16:31.264801+00:00,296831006,JeansGrey,XL,2042128504389,Остальные склады,0,0,0
2026-07-12T19:16:31.264801+00:00,296831006,JeansGrey,XL,2042128504389,Краснодар,1,0,0
2026-07-12T19:16:31.264801+00:00,357265722,Dressbordo,L,2043177808725,Волгоград,0,1,0
2026-07-12T19:16:31.264801+00:00,604358784,Milanabordo,L,2047159169682,Краснодар,1,0,0
2026-07-12T19:16:31.264801+00:00,419352159,Rusha,L,2044026229913,СЦ Ижевск,0,0,0
2026-07-12T19:16:31.264801+00:00,314335767,Gold,л,2042535684704,Сарапул,0,1,0
2026-07-12T19:16:31.264801+00:00,314335767,Gold,хл,2042535684711,СЦ Омск,0,0,0
2026-07-12T19:16:31.264801+00:00,314335767,Gold,хл,2042535684711,Екатеринбург - Перспективная 14,1,1,0
2026-07-12T19:16:31.264801+00:00,357265722,Dressbordo,XS,2044131296640,Краснодар,3,0,0
2026-07-12T19:16:31.264801+00:00,359686661,Dressblack,S,2043193437978,Самара (Новосемейкино),1,2,0
2026-07-12T19:16:31.264801+00:00,359686661,Dressblack,S,2043193437978,Краснодар,3,0,0
2026-07-12T19:16:31.264801+00:00,359686661,Dressblack,L,2043193437954,Краснодар,5,0,0
2026-07-12T19:16:31.264801+00:00,357265722,Dressbordo,M,2043177808718,Рязань (Тюшевское),0,0,0
2026-07-12T19:16:31.264801+00:00,357265722,Dressbordo,M,2043177808718,Краснодар,2,0,0
2026-07-12T19:16:31.264801+00:00,359686661,Dressblack,M,2043193437961,Краснодар,3,0,0
2026-07-12T19:16:31.264801+00:00,359686661,Dressblack,M,2043193437961,Электросталь,4,0,0
2026-07-12T19:16:31.264801+00:00,449795236,Suitblue,146,2044537443884,Владимир,0,0,0
2026-07-12T19:16:31.264801+00:00,540151286,jacket,XL,2049839732391,Краснодар,2,0,0
2026-07-12T19:16:31.264801+00:00,384578439,Dressbraun,XS,2044131266407,Краснодар,1,0,0
2026-07-12T19:16:31.264801+00:00,449795236,Suitblue,140,2044537443877,Самара (Новосемейкино),4,1,0
2026-07-12T19:16:31.264801+00:00,540151286,jacket,L,2046237586823,Коледино,3,0,0
2026-07-12T19:16:31.264801+00:00,459228187,Amanew,3XL,2044712208833,Коледино,0,0,0
2026-07-12T19:16:31.264801+00:00,449795236,Suitblue,152,2044537443891,Краснодар,0,0,0
2026-07-12T19:16:31.264801+00:00,532147674,Maxiblack,S,2046105120999,Краснодар,3,0,0
2026-07-12T19:16:31.264801+00:00,604358784,Milanabordo,XS,2047159169712,Электросталь,1,0,0
2026-07-12T19:16:31.264801+00:00,604358784,Milanabordo,XS,2047159169712,Белая дача,0,0,0
2026-07-12T19:16:31.264801+00:00,532147674,Maxiblack,M,2046105120982,Краснодар,2,0,0
2026-07-12T19:16:31.264801+00:00,543717933,Vestblack,M,2046284871750,Краснодар,2,0,0
2026-07-12T19:16:31.264801+00:00,604358784,Milanabordo,M,2047159169699,Краснодар,1,0,0
2026-07-12T19:16:31.264801+00:00,612434640,Milanablack,L,2047246194573,СЦ Ижевск,0,0,0
