snapshot_collected_at_utc,nmId,vendorCode,techSize,barcode,warehouseName,quantity,inWayToClient,inWayFromClient
2026-06-29T12:49:49.689524+00:00,314335767,Gold,л,2042535684704,Остальные склады,0,2,0
2026-06-29T12:49:49.689524+00:00,384578439,Dressbraun,M,2043547518605,Пенза,1,0,0
2026-06-29T12:49:49.689524+00:00,419352159,Rusha,XXL,2044026229937,Сарапул,2,0,0
2026-06-29T12:49:49.689524+00:00,419352159,Rusha,M,2044026229906,Сарапул,2,0,0
2026-06-29T12:49:49.689524+00:00,612434640,Milanablack,L,2047246194573,Самара (Новосемейкино),7,0,0
2026-06-29T12:49:49.689524+00:00,612434640,Milanablack,S,2047246194597,Волгоград,1,0,0
2026-06-29T12:49:49.689524+00:00,612434640,Milanablack,S,2047246194597,Сарапул,4,0,0
2026-06-29T12:49:49.689524+00:00,359710654,Dressgrey,S,2043193903176,Краснодар,1,0,0
2026-06-29T12:49:49.689524+00:00,359710654,Dressgrey,S,2043193903176,Остальные склады,0,2,0
2026-06-29T12:49:49.689524+00:00,159242247,Toprazrezbezh,L,2037768215436,Тула,3,0,0
2026-06-29T12:49:49.689524+00:00,159242247,Toprazrezbezh,L,2037768215436,СЦ Брянск 2,0,1,0
2026-06-29T12:49:49.689524+00:00,182674292,Pants52,3XL,2038797035118,Остальные склады,0,1,1
2026-06-29T12:49:49.689524+00:00,182674292,Pants52,3XL,2038797035118,Волгоград,1,0,0
2026-06-29T12:49:49.689524+00:00,214385138,Bluejeans2,L,2039599440551,СЦ Кемерово,0,0,1
2026-06-29T12:49:49.689524+00:00,214385138,Bluejeans2,L,2039599440551,Остальные склады,0,1,0
2026-06-29T12:49:49.689524+00:00,173670617,Rubchikblack,4XL,2038444334809,Екатеринбург - Перспективная 14,0,0,0
2026-06-29T12:49:49.689524+00:00,357265722,Dressbordo,L,2043177808725,Крыловская,0,0,1
2026-06-29T12:49:49.689524+00:00,540151286,jacket,XS,2046237560540,Электросталь,1,0,0
2026-06-29T12:49:49.689524+00:00,612434640,Milanablack,S,2047246194597,СПБ Шушары,0,0,1
2026-06-29T12:49:49.689524+00:00,612434640,Milanablack,S,2047246194597,Остальные склады,0,0,0
2026-06-29T12:49:49.689524+00:00,384578439,Dressbraun,S,2043547518612,Рязань (Тюшевское),3,0,0
2026-06-29T12:49:49.689524+00:00,540151286,jacket,M,2046237584898,СПБ Шушары,0,0,0
2026-06-29T12:49:49.689524+00:00,540151286,jacket,XS,2046237560540,Самара (Новосемейкино),2,0,0
2026-06-29T12:49:49.689524+00:00,384578439,Dressbraun,XS,2044131266407,СПБ Шушары,1,0,0
2026-06-29T12:49:49.689524+00:00,357265722,Dressbordo,L,2043177808725,Тула,0,1,0
2026-06-29T12:49:49.689524+00:00,359686661,Dressblack,L,2043193437954,Невинномысск,0,0,0
2026-06-29T12:49:49.689524+00:00,357265722,Dressbordo,XS,2044131296640,Сургут,0,0,1
2026-06-29T12:49:49.689524+00:00,357265722,Dressbordo,L,2043177808725,Невинномысск,0,0,0
2026-06-29T12:49:49.689524+00:00,384578439,Dressbraun,L,2043547518599,Электросталь,0,1,0
2026-06-29T12:49:49.689524+00:00,540151286,jacket,XXL,2049839732407,СЦ Шушары,0,0,1
2026-06-29T12:49:49.689524+00:00,540151286,jacket,L,2046237586823,Коледино,2,0,0
2026-06-29T12:49:49.689524+00:00,357265722,Dressbordo,M,2043177808718,СЦ Липецк,0,0,1
2026-06-29T12:49:49.689524+00:00,540151286,jacket,XL,2049839732391,Остальные склады,0,3,2
2026-06-29T12:49:49.689524+00:00,540151286,jacket,XL,2049839732391,Коледино,1,0,0
2026-06-29T12:49:49.689524+00:00,359686661,Dressblack,S,2043193437978,Котовск,0,0,0
2026-06-29T12:49:49.689524+00:00,357265722,Dressbordo,S,2043177808701,Рязань (Тюшевское),0,0,0
2026-06-29T12:49:49.689524+00:00,357265722,Dressbordo,M,2043177808718,СЦ Архангельск,0,0,0
2026-06-29T12:49:49.689524+00:00,357265722,Dressbordo,L,2043177808725,СЦ Архангельск,0,0,0
2026-06-29T12:49:49.689524+00:00,367954936,Polobezh,XS,2044430645354,Электросталь,6,0,0
2026-06-29T12:49:49.689524+00:00,217913160,Amazebra,L,2039672779219,Остальные склады,0,1,0
2026-06-29T12:49:49.689524+00:00,449795236,Suitblue,146,2044537443884,Остальные склады,0,2,0
2026-06-29T12:49:49.689524+00:00,449795236,Suitblue,146,2044537443884,Самара (Новосемейкино),3,0,0
2026-06-29T12:49:49.689524+00:00,217913160,Amazebra,XL,2039672779226,Остальные склады,0,0,0
2026-06-29T12:49:49.689524+00:00,357265722,Dressbordo,XS,2044131296640,СЦ Внуково,0,0,1
2026-06-29T12:49:49.689524+00:00,391740659,Estilio2,ONE SIZE,2043693436372,Сарапул,1,1,0
2026-06-29T12:49:49.689524+00:00,242492939,Suitblack,128,2040613716750,Остальные склады,0,1,0
2026-06-29T12:49:49.689524+00:00,242492939,Suitblack,128,2040613716750,СЦ Кемерово,0,0,0
2026-06-29T12:49:49.689524+00:00,1017464481,Dressgepur,S,2051139387720,СЦ Внуково,0,0,1
