snapshot_collected_at_utc,nmId,vendorCode,techSize,barcode,warehouseName,quantity,inWayToClient,inWayFromClient
2026-06-26T11:20:32.824383+00:00,235296506,Polina,2ХЛ,2040242468471,Воронеж,0,1,0
2026-06-26T11:20:32.824383+00:00,235296506,Polina,2ХЛ,2040242468471,Котовск,0,0,0
2026-06-26T11:20:32.824383+00:00,359686661,Dressblack,S,2043193437978,Коледино,0,0,1
2026-06-26T11:20:32.824383+00:00,359686661,Dressblack,S,2043193437978,СПБ Шушары,0,0,1
2026-06-26T11:20:32.824383+00:00,357265722,Dressbordo,M,2043177808718,Екатеринбург - Перспективная 14,0,0,0
2026-06-26T11:20:32.824383+00:00,314335767,Gold,л,2042535684704,Электросталь,0,1,0
2026-06-26T11:20:32.824383+00:00,359686661,Dressblack,M,2043193437961,Остальные склады,0,7,4
2026-06-26T11:20:32.824383+00:00,359686661,Dressblack,M,2043193437961,Краснодар,0,0,0
2026-06-26T11:20:32.824383+00:00,357265722,Dressbordo,XS,2044131296640,Остальные склады,0,12,7
2026-06-26T11:20:32.824383+00:00,357265722,Dressbordo,XS,2044131296640,Сургут,0,0,3
2026-06-26T11:20:32.824383+00:00,384578439,Dressbraun,M,2043547518605,Самара (Новосемейкино),5,3,0
2026-06-26T11:20:32.824383+00:00,357265722,Dressbordo,L,2043177808725,Тула,1,1,0
2026-06-26T11:20:32.824383+00:00,540151286,jacket,M,2046237584898,Остальные склады,0,5,2
2026-06-26T11:20:32.824383+00:00,1017464481,Dressgepur,S,2051139387720,Остальные склады,0,3,6
2026-06-26T11:20:32.824383+00:00,1017464481,Dressgepur,S,2051139387720,Электросталь,0,1,0
2026-06-26T11:20:32.824383+00:00,1017464481,Dressgepur,M,2051139387713,Остальные склады,0,6,5
2026-06-26T11:20:32.824383+00:00,1017464481,Dressgepur,M,2051139387713,Электросталь,0,1,0
2026-06-26T11:20:32.824383+00:00,314335767,Gold,хл,2042535684711,Коледино,0,0,1
2026-06-26T11:20:32.824383+00:00,540151286,jacket,M,2046237584898,Сарапул,1,0,1
2026-06-26T11:20:32.824383+00:00,1017464481,Dressgepur,S,2051139387720,Самара (Новосемейкино),1,1,0
2026-06-26T11:20:32.824383+00:00,1017464481,Dressgepur,XS,2051139387737,Остальные склады,0,0,2
2026-06-26T11:20:32.824383+00:00,1017464481,Dressgepur,XS,2051139387737,Сургут,0,0,1
2026-06-26T11:20:32.824383+00:00,359686661,Dressblack,XS,2043887436669,Самара (Новосемейкино),1,2,0
2026-06-26T11:20:32.824383+00:00,357265722,Dressbordo,M,2043177808718,СЦ Ижевск,0,1,0
