snapshot_collected_at_utc,nmId,vendorCode,techSize,barcode,warehouseName,quantity,inWayToClient,inWayFromClient
2026-07-08T15:54:26.855312+00:00,168745949,Rubchikwhite,XL,2038151831004,Краснодар,0,0,0
2026-07-08T15:54:26.855312+00:00,217913160,Amazebra,L,2039672779219,Электросталь,2,0,0
2026-07-08T15:54:26.855312+00:00,357265722,Dressbordo,S,2043177808701,Екатеринбург - Перспективная 14,0,2,0
2026-07-08T15:54:26.855312+00:00,384578439,Dressbraun,S,2043547518612,Котовск,10,0,0
2026-07-08T15:54:26.855312+00:00,36168913,sarafanschoolblue,134,2005345514029,Остальные склады,0,1,0
2026-07-08T15:54:26.855312+00:00,36168913,sarafanschoolblue,134,2005345514029,Электросталь,4,0,0
2026-07-08T15:54:26.855312+00:00,235818031,Polinablue,2ХЛ,2040261485725,Краснодар,1,0,0
2026-07-08T15:54:26.855312+00:00,235818031,Polinablue,2ХЛ,2040261485725,Остальные склады,0,1,0
2026-07-08T15:54:26.855312+00:00,357265722,Dressbordo,M,2043177808718,Истра,0,0,0
2026-07-08T15:54:26.855312+00:00,359710654,Dressgrey,L,2043193903152,Электросталь,0,0,1
2026-07-08T15:54:26.855312+00:00,384578439,Dressbraun,L,2043547518599,Коледино,2,0,0
2026-07-08T15:54:26.855312+00:00,182674292,Pants52,3XL,2038797035118,Рязань (Тюшевское),3,0,0
2026-07-08T15:54:26.855312+00:00,612434640,Milanablack,L,2047246194573,Владимир,1,0,0
2026-07-08T15:54:26.855312+00:00,612434640,Milanablack,L,2047246194573,Остальные склады,0,2,1
2026-07-08T15:54:26.855312+00:00,540151286,jacket,S,2046237584133,СЦ Смоленск 3,0,0,1
2026-07-08T15:54:26.855312+00:00,540151286,jacket,S,2046237584133,Остальные склады,0,3,1
2026-07-08T15:54:26.855312+00:00,367954936,Polobezh,M,2043320641261,Самара (Новосемейкино),7,0,0
2026-07-08T15:54:26.855312+00:00,367954936,Polobezh,M,2043320641261,СЦ Хабаровск,0,0,0
2026-07-08T15:54:26.855312+00:00,359686661,Dressblack,S,2043193437978,Екатеринбург - Перспективная 14,0,1,0
2026-07-08T15:54:26.855312+00:00,359686661,Dressblack,M,2043193437961,Екатеринбург - Перспективная 14,0,0,0
