snapshot_collected_at_utc,nmId,vendorCode,techSize,barcode,warehouseName,quantity,inWayToClient,inWayFromClient
2026-06-26T18:13:29.629962+00:00,235296506,Polina,2ХЛ,2040242468471,Котовск,0,0,0
2026-06-26T18:13:29.629962+00:00,357265722,Dressbordo,M,2043177808718,Екатеринбург - Перспективная 14,0,0,0
2026-06-26T18:13:29.629962+00:00,359686661,Dressblack,M,2043193437961,Остальные склады,0,7,4
2026-06-26T18:13:29.629962+00:00,359686661,Dressblack,M,2043193437961,Краснодар,0,0,0
2026-06-26T18:13:29.629962+00:00,357265722,Dressbordo,XS,2044131296640,Остальные склады,0,12,7
2026-06-26T18:13:29.629962+00:00,357265722,Dressbordo,XS,2044131296640,Сургут,0,0,3
2026-06-26T18:13:29.629962+00:00,1017464481,Dressgepur,S,2051139387720,Электросталь,0,1,0
2026-06-26T18:13:29.629962+00:00,1017464481,Dressgepur,XS,2051139387737,Сургут,0,0,1
2026-06-26T18:13:29.629962+00:00,1017464481,Dressgepur,S,2051139387720,Самара (Новосемейкино),1,1,0
2026-06-26T18:13:29.629962+00:00,36168913,sarafanschoolblue,140,2005345514036,Самара (Новосемейкино),1,1,0
2026-06-26T18:13:29.629962+00:00,44394428,goroxbordo,128,2010980523008,СЦ Смоленск 3,0,0,0
2026-06-26T18:13:29.629962+00:00,44394428,goroxbordo,128,2010980523008,Остальные склады,0,1,0
2026-06-26T18:13:29.629962+00:00,53471668,Volanpink,140,2016422441053,Остальные склады,0,0,0
2026-06-26T18:13:29.629962+00:00,53471668,Volanpink,140,2016422441053,Астана Карагандинское шоссе,1,0,0
2026-06-26T18:13:29.629962+00:00,138556432,Ornella,XXXL,2037247885020,Остальные склады,0,1,0
2026-06-26T18:13:29.629962+00:00,138556432,Ornella,XXXL,2037247885020,Белая дача,0,0,0
2026-06-26T18:13:29.629962+00:00,182674292,Pants52,3XL,2038797035118,Краснодар,1,0,0
2026-06-26T18:13:29.629962+00:00,182674292,Pants52,3XL,2038797035118,Остальные склады,0,2,3
2026-06-26T18:13:29.629962+00:00,182674292,Pants52,3XL,2038797035118,СЦ Кемерово,0,0,0
2026-06-26T18:13:29.629962+00:00,159242247,Toprazrezbezh,L,2037768215436,Остальные склады,0,3,0
2026-06-26T18:13:29.629962+00:00,159242247,Toprazrezbezh,L,2037768215436,Котовск,0,0,0
2026-06-26T18:13:29.629962+00:00,182674292,Pants52,XXL,2038797035101,Остальные склады,0,2,2
2026-06-26T18:13:29.629962+00:00,182674292,Pants52,XXL,2038797035101,Тула,1,0,1
2026-06-26T18:13:29.629962+00:00,217913160,Amazebra,L,2039672779219,Остальные склады,0,1,0
2026-06-26T18:13:29.629962+00:00,217913160,Amazebra,L,2039672779219,Самара (Новосемейкино),2,0,0
2026-06-26T18:13:29.629962+00:00,235296506,Polina,л,2040242468457,Самара (Новосемейкино),0,1,0
2026-06-26T18:13:29.629962+00:00,235296506,Polina,л,2040242468457,Остальные склады,0,3,1
2026-06-26T18:13:29.629962+00:00,182674292,Pants52,L,2038797035088,Остальные склады,0,1,0
2026-06-26T18:13:29.629962+00:00,182674292,Pants52,L,2038797035088,СЦ Внуково,0,0,0
2026-06-26T18:13:29.629962+00:00,235296506,Polina,2ХЛ,2040242468471,Остальные склады,0,2,0
2026-06-26T18:13:29.629962+00:00,235296506,Polina,2ХЛ,2040242468471,Воронеж,0,0,0
2026-06-26T18:13:29.629962+00:00,359710654,Dressgrey,M,2043193903169,Тула,2,0,0
2026-06-26T18:13:29.629962+00:00,359710654,Dressgrey,S,2043193903176,Остальные склады,0,0,0
2026-06-26T18:13:29.629962+00:00,359710654,Dressgrey,S,2043193903176,Пенза,1,0,0
2026-06-26T18:13:29.629962+00:00,314335767,Gold,ХХЛ,2042535684728,СЦ Гомель 2,0,1,0
2026-06-26T18:13:29.629962+00:00,314335767,Gold,ХХЛ,2042535684728,Остальные склады,0,5,1
2026-06-26T18:13:29.629962+00:00,219262228,Coat,134,2039709791672,Радумля 1,0,0,0
2026-06-26T18:13:29.629962+00:00,219262228,Coat,134,2039709791672,Коледино,1,0,0
2026-06-26T18:13:29.629962+00:00,314335767,Gold,хл,2042535684711,Остальные склады,0,7,3
2026-06-26T18:13:29.629962+00:00,314335767,Gold,хл,2042535684711,Коледино,0,1,0
2026-06-26T18:13:29.629962+00:00,314335767,Gold,хл,2042535684711,СПБ Шушары,0,0,0
2026-06-26T18:13:29.629962+00:00,314335767,Gold,хл,2042535684711,Пенза,0,0,0
2026-06-26T18:13:29.629962+00:00,384578439,Dressbraun,L,2043547518599,Тула,3,0,0
2026-06-26T18:13:29.629962+00:00,384578439,Dressbraun,L,2043547518599,Остальные склады,0,5,4
2026-06-26T18:13:29.629962+00:00,357265722,Dressbordo,S,2043177808701,Екатеринбург - Перспективная 14,0,1,0
2026-06-26T18:13:29.629962+00:00,357265722,Dressbordo,S,2043177808701,Самара (Новосемейкино),0,2,0
2026-06-26T18:13:29.629962+00:00,359686661,Dressblack,M,2043193437961,Пенза,0,0,0
